relative_image_path,filename,stem,suffix,filename_normalized,stem_normalized,size_bytes,image_width,image_height,image_format,image_readable,image_error,sha256,inventory_version
data/images/cma/CMA_102924.jpg,CMA_102924.jpg,CMA_102924,.jpg,cma102924jpg,cma102924,248446,303,893,JPEG,True,,de9ee8775917a1e9a6025397fe227bf282325db442f6c74e401ea848f634a08b,local_image_inventory_v1
data/images/cma/CMA_104234.jpg,CMA_104234.jpg,CMA_104234,.jpg,cma104234jpg,cma104234,907847,1124,893,JPEG,True,,731182bba04eabb294acc242316cdd600a2a0a62a791f6880116ad8a3698d0ba,local_image_inventory_v1
data/images/cma/CMA_104236.jpg,CMA_104236.jpg,CMA_104236,.jpg,cma104236jpg,cma104236,885053,1263,829,JPEG,True,,22f9b85b07f0aae0480fb37a0f992053594924d17dc771dd65c5062834863671,local_image_inventory_v1
data/images/cma/CMA_104238.jpg,CMA_104238.jpg,CMA_104238,.jpg,cma104238jpg,cma104238,305053,437,893,JPEG,True,,77087c319a10c79d018dd719512950272a386c52504cee5808d88ea7853cef42,local_image_inventory_v1
data/images/cma/CMA_104240.jpg,CMA_104240.jpg,CMA_104240,.jpg,cma104240jpg,cma104240,323679,1263,270,JPEG,True,,95e8aee3b9b04121ac4b54a9c4c5cff7916fbf681edb00f09a02d6cb90eb7402,local_image_inventory_v1
data/images/cma/CMA_104241.jpg,CMA_104241.jpg,CMA_104241,.jpg,cma104241jpg,cma104241,338462,742,900,JPEG,True,,723b0bc2ecf87ae5961b437040f81c095075f4ac539d471b74489b6482515e76,local_image_inventory_v1
data/images/cma/CMA_104242.jpg,CMA_104242.jpg,CMA_104242,.jpg,cma104242jpg,cma104242,173500,900,270,JPEG,True,,c03af74af54f0a0d256dd6c73ce70b04f36ffdb0ebbf6c7510074b522efd2f64,local_image_inventory_v1
data/images/cma/CMA_104243.jpg,CMA_104243.jpg,CMA_104243,.jpg,cma104243jpg,cma104243,172858,900,284,JPEG,True,,242a73b74c496c3e52076e5410a90b1bea19e057809d8b92aa36e8f43c4e4b78,local_image_inventory_v1
data/images/cma/CMA_104244.jpg,CMA_104244.jpg,CMA_104244,.jpg,cma104244jpg,cma104244,171197,900,292,JPEG,True,,83f905596afb2180015c709156f4a5d5a3e3fb2365d644e7201abfe43edf1994,local_image_inventory_v1
data/images/cma/CMA_104245.jpg,CMA_104245.jpg,CMA_104245,.jpg,cma104245jpg,cma104245,168719,900,277,JPEG,True,,69d0b82bfa091d4c083585db31bc86e4ae2ffb937da90e298f5d89591343d614,local_image_inventory_v1
